"","Original.address","Latitutde","Longitude"
"222","1617 E. 50th Pl. ",41.8032384,-87.585806
"223","4800 S. Lake Park",41.8074698,-87.5913632
"224","4900 S. Lake Park",41.8060117,-87.5897826
"225","5000 S. Drexel ",41.8041012,-87.6042494
"226","5100 S. Cottage Grove",41.8022489,-87.6064104
"227","5100 S. Drexel",41.8020004,-87.603916
"228","5100 S. Ellis",41.8019762,-87.6015883
"229","5100 S. Woodlawn ",41.8020039,-87.5971239
"230","5118 S. Dorchester ",41.8017253,-87.5923473
"231","5130 S. Lake Park",41.8019493,-87.5880146
"232","5130 S. Lake Park ",41.8019493,-87.5880146
"233","5200 S. Dorchester",41.800679,-87.592269
"234","5225 S. Harper ",41.8001559,-87.5887777
"235","5235 S. Harper",41.8000045,-87.5877278
"236","5300 S. Cornell",41.7995091,-87.5855693
"237","5300 S. Harper ",41.7994184,-87.5844536
"238","5300 S. University",41.7993398,-87.5985268
"239","5326 S. Cornell",41.798681,-87.5860183
"240","53rd & Harper",41.7995233,-87.589095
"241","5400 S. Dorchester",41.7978593,-87.5922122
"242","5400 S. Drexel ",41.7966863,-87.6041205
"243","5400 S. Greenwood",41.7979407,-87.5997083
"244","5400 S. Harper ",41.7979351,-87.5893372
"245","5400 S. Ingleside",41.797709,-87.6031514
"246","5400 S. University ",41.797813,-87.5983667
"247","5454 S. Lake Shore Dr.",41.7960582,-87.5791018
"248","5500 S. Cornell",41.7950886,-87.5856238
"249","5500 S. Cornell ",41.7950886,-87.5856238
"250","5500 S. Cottage Grove",41.795729,-87.605226
"251","5500 S. Ellis",41.794766,-87.601639
"252","5500 S. Ellis ",41.794766,-87.601639
"253","5501 S. Cottage Grove",41.7949367,-87.6062354
"254","5521 S. University ",41.7943593,-87.5978249
"255","5550 S. Dorchester ",41.7935089,-87.592135
"256","5600 S. Woodlawn",41.7930239,-87.596804
"257","5615 S. University",41.7927144,-87.5977879
"258","5615 S. University ",41.7927144,-87.5977879
"259","5617 S. Maryland ",41.7926519,-87.604581
"260","5643 S. Cottage Grove ",41.7920046,-87.6057852
"261","5700 S. Blackstone",41.79133,-87.59062
"262","5700 S. Drexel",41.7913587,-87.6037279
"263","5700 S. Ellis",41.7913661,-87.6013016
"264","5700 S. Hyde Park",41.7934118,-87.5839052
"265","5700 S. Stony Island",41.7879717,-87.5866324
"266","5700 S. Woodlawn",41.7912883,-87.5968463
"267","5710 S. Woodlawn ",41.7910278,-87.5967492
"268","5730 S. Woodlawn ",41.7904695,-87.5967415
"269","5734 S. Ellis ",41.7902933,-87.6016511
"270","5735 S. University ",41.7903486,-87.5976735
"271","5739 S. Woodlawn ",41.7898839,-87.5960168
"272","5748 S. Blackstone ",41.7901022,-87.5905458
"273","5750 S. Woodlawn ",41.789837,-87.5968649
"274","5751 S. Woodlawn",41.7901437,-87.5960615
"275","5757 S. University",41.7899183,-87.5973411
"276","5800 S. Cottage Grove",41.7890602,-87.6064569
"277","5800 S. Dorchester",41.7896565,-87.5915533
"278","5800 S. Greenwood",41.7932161,-87.5998069
"279","5800 S. Maryland",41.7888793,-87.6049986
"280","5800 S. Woodlawn",41.7895848,-87.5964141
"281","5801 S. Ellis",41.7895762,-87.6009324
"282","5815 S. Kimbark ",41.7885454,-87.594775
"283","5827 S. University",41.7889606,-87.5979197
"284","5835 S. Drexel ",41.7895463,-87.6036965
"285","5835 S. Kenwood ",41.789397,-87.5928061
"286","5837 S. Maryland ",41.788755,-87.6046898
"287","5900 S. Ellis",41.7872877,-87.6012187
"288","6000 S. Ellis",41.7853698,-87.6011668
"289","6000 S. Stony Island",41.7857879,-87.586997
"290","6000 S. Woodlawn",41.7859971,-87.596333
"291","6000 S. Woodlawn ",41.7859971,-87.596333
"292","6016 S. Ingleside ",41.7857267,-87.6029258
"293","6031 S. Ellis",41.7850698,-87.6003337
"294","6100 S. Ellis ",41.7840817,-87.6011369
"295","6100 S. Ingleside",41.7839183,-87.6031019
"296","6200 S. Ellis",41.782064,-87.601567
"297","6200 S. Harper",41.7824444,-87.5881606
"298","6200 S. Kimbark",41.782198,-87.595134
"299","6300 S. Ingleside",41.7804288,-87.6016703
"300","6300 S. Kenwood",41.7802796,-87.5964954
"301","6315 S. Cottage Grove ",41.7797709,-87.605491
"302","801 E. Midway Pl.",41.7864747,-87.5989062
"303","820 E. 56th St.",41.7931443,-87.6060824
"304","850 E. 58th St.",41.7896827,-87.6040502
"305","850 E. 63rd St. ",41.7806255,-87.6038137
"306","900 E. Midway Pl.",41.7864747,-87.5989062
"307","910 E. 58th St. ",41.7899301,-87.6033832
"308","924-26 E. 61st St. ",41.7842257,-87.6032869
"309",". 5100 S. Ellis",41.8019762,-87.6015883
"310","1000 E. 54th Pl.",41.7964721,-87.6012387
"311","1000 E. 54th Pl. ",41.7964721,-87.6012387
"312","1000 E. 54th St.",41.79792,-87.6012565
"313","1000 E. 61st St. ",41.7840992,-87.6001143
"314","1000 E. 63rd St.",41.780743,-87.600607
"315","1000 E. Midway Pl",NA,NA
"316","1001 E. Midway Pl.",41.7864747,-87.5989062
"317","1003 E. 62nd St. ",41.7822767,-87.600292
"318","1005 E. 55th St.",41.7953275,-87.601126
"319","1005 E. 55th St. ",41.7953275,-87.601126
"320","1005 E. 60th St. Burton-Judson RH",41.785506,-87.600405
"321","1009 E. 53rd St. ",41.7992236,-87.6007666
"322","1009 E. 55th St. ",41.7948282,-87.6003569
"323","1009 E. 57th St.",41.7910784,-87.6005453
"324","1009 E. 57th St.  ",41.7910784,-87.6005453
"325","1010 E. 55th St.",41.7950157,-87.6009146
"326","1020 E. 58th St.",41.7900088,-87.60021
