"","Original address","Freq","Location.Address"
"1353","57th between Harper & Lake Park",2,"57th  and  Harper ,57th  and  Lake Park"
"1354","61st St. between Greenwood & University",2,"61st Street  and  Greenwood ,61st Street  and  University"
"1355","Cornell between 50th & 51st",2,"Cornell  and  50th ,Cornell  and  51st"
"1356","Dorchester between 49th & 50th",2,"Dorchester  and  49th ,Dorchester  and  50th"
"1357","Dorchester between 62nd & 63rd",2,"Dorchester  and  62nd ,Dorchester  and  63rd"
"1358","Ellis between 53rd & 54th",2,"Ellis  and  53rd ,Ellis  and  54th"
"1359","Greenwood between 51st & 52nd",2,"Greenwood  and  51st ,Greenwood  and  52nd"
"1360","Greenwood between 52nd & 53rd",2,"Greenwood  and  52nd ,Greenwood  and  53rd"
"1361","Harper between 55th & 56th",2,"Harper  and  55th ,Harper  and  56th"
"1362","Hyde Park between Greenwood & University",2,"Hyde Park  and  Greenwood ,Hyde Park  and  University"
"1363","Hyde Park between Kimbark & Kenwood",2,"Hyde Park  and  Kimbark ,Hyde Park  and  Kenwood"
"1364","Kenwood between 51st & 52nd",2,"Kenwood  and  51st ,Kenwood  and  52nd"
"1365","Kenwood between 56th & 57th",2,"Kenwood  and  56th ,Kenwood  and  57th"
"1366","Kimbark between 62nd & 63rd",2,"Kimbark  and  62nd ,Kimbark  and  63rd"
"1367","Madison Park between Kenwood & Dorchester",2,"Madison Park  and  Kenwood ,Madison Park  and  Dorchester"
"1368","Stony Island between 57th & 58th",2,"Stony Island  and  57th ,Stony Island  and  58th"
"1369","University between 61st & 62nd St.",2,"University  and  61st ,University  and  62nd Street"
"1370","Woodlawn between 55th & 56th",2,"Woodlawn  and  55th ,Woodlawn  and  56th"
"1371","Woodlawn between 56th & 57th",2,"Woodlawn  and  56th ,Woodlawn  and  57th"
"1372","Woodlawn between 62nd & 63rd",2,"Woodlawn  and  62nd ,Woodlawn  and  63rd"
"1373","44th St. between Greenwood & University",1,"44th Street  and  Greenwood ,44th Street  and  University"
"1374","49th St. between Drexel and Ellis",1,"49th Street  and  Drivexel,49th Street  and Ellis"
"1375","49th St. between Ellis and Greenwood",1,"49th Street  and  Ellis,49th Street  and Greenwood"
"1376","50th Pl. between Cornell & East End",1,"50th Place  and  Cornell ,50th Place  and  East End"
"1377","50th St. between Cornell & East End",1,"50th Street  and  Cornell ,50th Street  and  East End"
"1378","52nd between Drexel & Ingleside",1,"52nd  and  Drivexel ,52nd  and  Ingleside"
"1379","52nd between Ellis & Greenwood",1,"52nd  and  Ellis ,52nd  and  Greenwood"
"1380","52nd between Ingleside and Ellis",1,"52nd  and  Ingleside,52nd  and Ellis"
"1381","52nd St. between Cottage Grove & Drexel",1,"52nd Street  and  Cottage Grove ,52nd Street  and  Drivexel"
"1382","52nd St. between Drexel and Ellis",1,"52nd Street  and  Drivexel,52nd Street  and Ellis"
"1383","52nd St. between Greenwood & University",1,"52nd Street  and  Greenwood ,52nd Street  and  University"
"1384","52nd St. between Greenwood & University ",1,"52nd Street  and  Greenwood ,52nd Street  and  University "
"1385","52nd St. between Kimbark & Kenwood",1,"52nd Street  and  Kimbark ,52nd Street  and  Kenwood"
"1386","52nd St. between Woodlawn & Kimbark",1,"52nd Street  and  Woodlawn ,52nd Street  and  Kimbark"
"1387","53rd between Blackstone & Harper",1,"53rd  and  Blackstone ,53rd  and  Harper"
"1388","53rd between Cornell & Hyde Park",1,"53rd  and  Cornell ,53rd  and  Hyde Park"
"1389","53rd between Kenwood & Dorchester",1,"53rd  and  Kenwood ,53rd  and  Dorchester"
"1390","53rd between Woodlawn & Kimbark",1,"53rd  and  Woodlawn ,53rd  and  Kimbark"
"1391","53rd St between Ellis and Ingleside and Drexel",1,"53rd St  and  Ellis,53rd St  and Ingleside"
"1392","53rd St. between Blackstone & Harper",1,"53rd Street  and  Blackstone ,53rd Street  and  Harper"
"1393","53rd St. between Kimbark & Kenwood",1,"53rd Street  and  Kimbark ,53rd Street  and  Kenwood"
"1394","54th between Cottage and Drexel",1,"54th  and  Cottage,54th  and Drivexel"
"1395","54th between Ellis and Greenwood",1,"54th  and  Ellis,54th  and Greenwood"
"1396","54th between Greenwood & University",1,"54th  and  Greenwood ,54th  and  University"
"1397","54th between Greenwood and University",1,"54th  and  Greenwood,54th  and University"
"1398","54th between Harper & Lake Park",1,"54th  and  Harper ,54th  and  Lake Park"
"1399","54th between Ingleside & Ellis",1,"54th  and  Ingleside ,54th  and  Ellis"
"1400","54th between Kimbark & Kenwood",1,"54th  and  Kimbark ,54th  and  Kenwood"
"1401","54th between University & Woodlawn",1,"54th  and  University ,54th  and  Woodlawn"
"1402","54th Pl. between Greenwood & University",1,"54th Place  and  Greenwood ,54th Place  and  University"
"1403","54th Pl. between Ingleside & Ellis",1,"54th Place  and  Ingleside ,54th Place  and  Ellis"
"1404","54th Pl. between University and Woodlawn",1,"54th Place  and  University,54th Place  and Woodlawn"
"1405","54th St. between Dorchester and Blackstone",1,"54th Street  and  Dorchester,54th Street  and Blackstone"
"1406","54th St. between Dorchester and Harper",1,"54th Street  and  Dorchester,54th Street  and Harper"
"1407","54th St. between Hyde Park & Everett",1,"54th Street  and  Hyde Park ,54th Street  and  Everett"
"1408","54th St. between Hyde Park & Shore Dr.",1,"54th Street  and  Hyde Park ,54th Street  and  Shore Drive"
"1409","54th St. between University & Woodlawn",1,"54th Street  and  University ,54th Street  and  Woodlawn"
"1410","54th St. between Woodlawn & Kimbark",1,"54th Street  and  Woodlawn ,54th Street  and  Kimbark"
"1411","55th between Dorchester & Harper",1,"55th  and  Dorchester ,55th  and  Harper"
"1412","55th between Harper & Lake Park",1,"55th  and  Harper ,55th  and  Lake Park"
"1413","55th between Hyde Park and Everett",1,"55th  and  Hyde Park,55th  and Everett"
"1414","55th between Kenwood & Dorchester",1,"55th  and  Kenwood ,55th  and  Dorchester"
"1415","55th between Kimbark & Kenwood",1,"55th  and  Kimbark ,55th  and  Kenwood"
"1416","55th Pl. between Blackstone & Harper",1,"55th Place  and  Blackstone ,55th Place  and  Harper"
"1417","55th St. between Greenwood and University",1,"55th Street  and  Greenwood,55th Street  and University"
"1418","56th between Ellis & University",1,"56th  and  Ellis ,56th  and  University"
"1419","56th between Hyde Park & Everett",1,"56th  and  Hyde Park ,56th  and  Everett"
"1420","56th between Hyde Park and Everett",1,"56th  and  Hyde Park,56th  and Everett"
"1421","56th St. between Kimbark & Kenwood",1,"56th Street  and  Kimbark ,56th Street  and  Kenwood"
"1422","56th St. between Kimbark and Kenwood",1,"56th Street  and  Kimbark,56th Street  and Kenwood"
"1423","56th St. between University & Woodlawn",1,"56th Street  and  University ,56th Street  and  Woodlawn"
"1424","57th between Blackstone & Harper",1,"57th  and  Blackstone ,57th  and  Harper"
"1425","57th between Kimbark & Kenwood",1,"57th  and  Kimbark ,57th  and  Kenwood"
"1426","57th between University & Woodlawn",1,"57th  and  University ,57th  and  Woodlawn"
"1427","57th St. between Dorchester & Blackstone",1,"57th Street  and  Dorchester ,57th Street  and  Blackstone"
"1428","58th between Kenwood & Dorchester",1,"58th  and  Kenwood ,58th  and  Dorchester"
"1429","6100 Blocks between Greenwood and Kimbark",1,"6100 Blocks  and  Greenwood,6100 Blocks  and Kimbark"
"1430","61st between University & Woodlawn",1,"61st  and  University ,61st  and  Woodlawn"
"1431","61st between Woodlawn & Kimbark",1,"61st  and  Woodlawn ,61st  and  Kimbark"
"1432","62nd between Ellis & Greenwood",1,"62nd  and  Ellis ,62nd  and  Greenwood"
"1433","62nd St. between Kimbark & Kenwood",1,"62nd Street  and  Kimbark ,62nd Street  and  Kenwood"
"1434","65th St. between Harper and Stony Island",1,"65th Street  and  Harper,65th Street  and Stony Island"
"1435","Between 1100 E. 57th St. to 5801 S. Ellis",1," and  1100 East 57th Street to 5801 South Ellis, and NA"
"1436","Between 915 E. 60th St. & 6031 S. Ellis",1," and  915 East 60th Street , and  6031 South Ellis"
"1437","Between 970 E. 58th St. and 1100 E. 57th St.",1," and  970 East 58th Street, and 1100 East 57th Street"
"1438","Blackstone between 51st & 52nd",1,"Blackstone  and  51st ,Blackstone  and  52nd"
"1439","Blackstone between 52nd & 53rd",1,"Blackstone  and  52nd ,Blackstone  and  53rd"
"1440","Blackstone between 53rd & 54th",1,"Blackstone  and  53rd ,Blackstone  and  54th"
"1441","Blackstone between 55th & 56th",1,"Blackstone  and  55th ,Blackstone  and  56th"
"1442","Blackstone between 56th & 57th",1,"Blackstone  and  56th ,Blackstone  and  57th"
"1443","Cornell between 52nd & 53rd",1,"Cornell  and  52nd ,Cornell  and  53rd"
"1444","Cottage Grove between 53rd & 54th",1,"Cottage Grove  and  53rd ,Cottage Grove  and  54th"
"1445","Cottage Grove between 54th & 55th",1,"Cottage Grove  and  54th ,Cottage Grove  and  55th"
"1446","Cottage Grove between 62nd & 63rd",1,"Cottage Grove  and  62nd ,Cottage Grove  and  63rd"
"1447","Dorchester between 51st & 52nd",1,"Dorchester  and  51st ,Dorchester  and  52nd"
"1448","Dorchester between 51st & 53rd",1,"Dorchester  and  51st ,Dorchester  and  53rd"
"1449","Dorchester between 53rd & 54th",1,"Dorchester  and  53rd ,Dorchester  and  54th"
"1450","Dorchester between 54th & 55th",1,"Dorchester  and  54th ,Dorchester  and  55th"
"1451","Dorchester between 61st & 62nd",1,"Dorchester  and  61st ,Dorchester  and  62nd"
"1452","Drexel between 43rd & 44th ",1,"Drivexel  and  43rd ,Drivexel  and  44th "
"1453","Drexel between 50th & 51st",1,"Drivexel  and  50th ,Drivexel  and  51st"
"1454","Drexel between 51st & 52nd",1,"Drivexel  and  51st ,Drivexel  and  52nd"
"1455","Drexel between 53rd & 54th ",1,"Drivexel  and  53rd ,Drivexel  and  54th "
"1456","Drexel between 61st & 62nd St.",1,"Drivexel  and  61st ,Drivexel  and  62nd Street"
"1457","Ellis between 51st & 52nd",1,"Ellis  and  51st ,Ellis  and  52nd"
"1458","Ellis between 58th & 55th",1,"Ellis  and  58th ,Ellis  and  55th"
"1459","Ellis between 61st and 62nd",1,"Ellis  and  61st,Ellis  and 62nd"
"1460","Ellis between 62nd & 63rd",1,"Ellis  and  62nd ,Ellis  and  63rd"
"1461","Ellis between 63rd & 64th",1,"Ellis  and  63rd ,Ellis  and  64th"
"1462","Greenwood between  54th & 55th",1,"Greenwood  and   54th ,Greenwood  and  55th"
"1463","Greenwood between 48th & 49th",1,"Greenwood  and  48th ,Greenwood  and  49th"
"1464","Greenwood between 54th & 55th ",1,"Greenwood  and  54th ,Greenwood  and  55th "
"1465","Greenwood between 61st & 62nd ",1,"Greenwood  and  61st ,Greenwood  and  62nd "
"1466","Harper between 52nd & 53rd",1,"Harper  and  52nd ,Harper  and  53rd"
"1467","Harper between 52nd and 53rd",1,"Harper  and  52nd,Harper  and 53rd"
"1468","Harper between 53rd & 54th",1,"Harper  and  53rd ,Harper  and  54th"
"1469","Harper between 54th & 55th ",1,"Harper  and  54th ,Harper  and  55th "
"1470","Harper between 54th & 55th St.",1,"Harper  and  54th ,Harper  and  55th Street"
"1471","Harper between 60th & 61st",1,"Harper  and  60th ,Harper  and  61st"
"1472","Harper Ct. between 52nd & 53rd",1,"Harper Ct.  and  52nd ,Harper Ct.  and  53rd"
"1473","Harper Ct. between Harper & Lake Park",1,"Harper Ct.  and  Harper ,Harper Ct.  and  Lake Park"
"1474","Hyde Park between  Ingleside & Ellis",1,"Hyde Park  and   Ingleside ,Hyde Park  and  Ellis"
"1475","Hyde Park between 52nd and 53rd",1,"Hyde Park  and  52nd,Hyde Park  and 53rd"
"1476","Hyde Park between 53rd & 54th",1,"Hyde Park  and  53rd ,Hyde Park  and  54th"
"1477","Hyde Park between 54th & 55th St.",1,"Hyde Park  and  54th ,Hyde Park  and  55th Street"
"1478","Hyde Park between Kenwood & Dorchester",1,"Hyde Park  and  Kenwood ,Hyde Park  and  Dorchester"
"1479","Hyde Park between Kenwood and Dorchester",1,"Hyde Park  and  Kenwood,Hyde Park  and Dorchester"
"1480","Hyde Park between University & Woodlawn",1,"Hyde Park  and  University ,Hyde Park  and  Woodlawn"
"1481","Hyde Park between Woodlawn and Kimbark",1,"Hyde Park  and  Woodlawn,Hyde Park  and Kimbark"
"1482","Ingleside between 60th & 61st",1,"Ingleside  and  60th ,Ingleside  and  61st"
"1483","Ingleside between 61st & 62nd",1,"Ingleside  and  61st ,Ingleside  and  62nd"
"1484","Ingleside between 61st& 62nd",1,"Ingleside  and  61st,Ingleside  and  62nd"
"1485","Ingleside between 62nd & 63rd ",1,"Ingleside  and  62nd ,Ingleside  and  63rd "
"1486","Kenwood between 48th & 49th",1,"Kenwood  and  48th ,Kenwood  and  49th"
"1487","Kenwood between 48th & 49th ",1,"Kenwood  and  48th ,Kenwood  and  49th "
"1488","Kenwood between 52nd & 53rd",1,"Kenwood  and  52nd ,Kenwood  and  53rd"
"1489","Kenwood between 54th & 55th",1,"Kenwood  and  54th ,Kenwood  and  55th"
"1490","Kenwood between 55th & 56th",1,"Kenwood  and  55th ,Kenwood  and  56th"
"1491","Kenwood between 57th& 58th",1,"Kenwood  and  57th,Kenwood  and  58th"
"1492","Kenwood between 61st & 62nd",1,"Kenwood  and  61st ,Kenwood  and  62nd"
"1493","Kimbark Between 53rd & 54th",1,"Kimbark  and  53rd ,Kimbark  and  54th"
"1494","Kimbark between 53rd and 54th",1,"Kimbark  and  53rd,Kimbark  and 54th"
"1495","Kimbark between 54th & 55th",1,"Kimbark  and  54th ,Kimbark  and  55th"
"1496","Kimbark between 55th & 56th ",1,"Kimbark  and  55th ,Kimbark  and  56th "
"1497","Kimbark between 61st and 62nd",1,"Kimbark  and  61st,Kimbark  and 62nd"
"1498","Lake Park between 52nd & 53rd",1,"Lake Park  and  52nd ,Lake Park  and  53rd"
"1499","Lake Park between 54th & 55th",1,"Lake Park  and  54th ,Lake Park  and  55th"
"1500","Madison Park between Kimbark and Kenwood",1,"Madison Park  and  Kimbark,Madison Park  and Kenwood"
"1501","Madison Park between Woodlawn & Dorchester",1,"Madison Park  and  Woodlawn ,Madison Park  and  Dorchester"
"1502","Maryland between 56th & 57th",1,"Maryland  and  56th ,Maryland  and  57th"
"1503","Oakenwald between 45th & 46th",1,"Oakenwald  and  45th ,Oakenwald  and  46th"
"1504","Park Pl. between Blackstone & Harper",1,"Park Place  and  Blackstone ,Park Place  and  Harper"
"1505","Park Pl. between Kenwood and Dorchester",1,"Park Place  and  Kenwood,Park Place  and Dorchester"
"1506","Stony Island between 56th & 57th",1,"Stony Island  and  56th ,Stony Island  and  57th"
"1507","University between 51st & 52nd",1,"University  and  51st ,University  and  52nd"
"1508","University between 52nd & 53rd",1,"University  and  52nd ,University  and  53rd"
"1509","University between 53rd & 54th",1,"University  and  53rd ,University  and  54th"
"1510","University between 55th & 56th",1,"University  and  55th ,University  and  56th"
"1511","University between 55th & 56th St.",1,"University  and  55th ,University  and  56th Street"
"1512","University between 62nd & 63rd",1,"University  and  62nd ,University  and  63rd"
"1513","Woodlawn between 47th & 48th ",1,"Woodlawn  and  47th ,Woodlawn  and  48th "
"1514","Woodlawn between 50th & 51st",1,"Woodlawn  and  50th ,Woodlawn  and  51st"
"1515","Woodlawn between 50th & 51st St.",1,"Woodlawn  and  50th ,Woodlawn  and  51st Street"
"1516","Woodlawn between 54th & 55th ",1,"Woodlawn  and  54th ,Woodlawn  and  55th "
"1517","Woodlawn between 55th &56th",1,"Woodlawn  and  55th ,Woodlawn  and 56th"
"1518","6054 S. Drexel / Parking Structure",2,"6054 South Drivexel"
"1519","1005 E. 60th St. to 6031 S. Ellis",1,"1005 East 60th Street,6031 South Ellis"
"1520","1100 E. 57th St. to 5050 S. Lake Shore",1,"1100 East 57th Street,5050 South Lake Shore"
"1521","1100 E. 57th St. to 5655 S. University",1,"1100 East 57th Street,5655 South University"
"1522","1100 E. 57th St. to 5709 S. University",1,"1100 East 57th Street,5709 South University"
"1523","1118  E. 58th St. to 5807 S. Woodlawn",1,"1118  East 58th Street,5807 South Woodlawn"
"1524","1118 E. 58th to 6031 S. Ellis",1,"1118 East 58th,6031 South Ellis"
"1525","1155 E. 58th St. to 55th & Lake Park",1,"1155 East 58th Street,55th and Lake Park"
"1526","1362 E. 59th St. to 1526 E. 55th St.",1,"1362 East 59th Street,1526 East 55th Street"
"1527","4900 S. East End / Public Way)",1,"4900 South East End / Public Way),"
"1528","5100 S. East End to 1111 E. 60th St. ",1,"5100 South East End,1111 East 60th Street "
"1529","53rd St. to 1414 E. 59th St.",1,"53rd Street,1414 East 59th Street"
"1530","5487-91 S. Hyde Park / Fraternity House",1,"5487-91 South Hyde Park"
"1531","54th to 56th University",1,"54th,56th University"
"1532","5500 S. Lake Park / Unknown Location",1,"5500 South Lake Park"
"1533","5500 S. University to 5630 S. University",1,"5500 South University,5630 South University"
"1534","5500 S. University to 5811 S. Ellis",1,"5500 South University,5811 South Ellis"
"1535","5530 S. Ellis to 56th & University",1,"5530 South Ellis,56th and University"
"1536","55th & Cornell to 57th & Woodlawn",1,"55th and Cornell,57th and Woodlawn"
"1537","55th & Ellis to 51st & University",1,"55th and Ellis,51st and University"
"1538","55th & Ellis to 53rd & Woodlawn",1,"55th and Ellis,53rd and Woodlawn"
"1539","55th & Hyde Park to 57th & Ellis",1,"55th and Hyde Park,57th and Ellis"
"1540","55th & Lake Park to 54th & Kenwood",1,"55th and Lake Park,54th and Kenwood"
"1541","55th & Woodlawn to 5521 S. University",1,"55th and Woodlawn,5521 South University"
"1542","55th to 56th / University to Woodlawn",1,"55th and University,56th and University"
"1543","5640 S. Ellis to 56th & Cornell",1,"5640 South Ellis,56th and Cornell"
"1544","56th & Cottage Grove to 56th & Ellis",1,"56th and Cottage Grove,56th and Ellis"
"1545","5730 S. Ellis to 5900 S. Ellis",1,"5730 South Ellis,5900 South Ellis"
"1546","57th & Ellis to 54th & Ingleside",1,"57th and Ellis,54th and Ingleside"
"1547","57th & Ellis to 55th & South Shore Dr.",1,"57th and Ellis,55th and South Shore Drive"
"1548","57th & Ellis to 61st & University",1,"57th and Ellis,61st and University"
"1549","57th & Stony Island to 5811 S. Ellis",1,"57th and Stony Island,5811 South Ellis"
"1550","57th & University to 60th & Kimbark",1,"57th and University,60th and Kimbark"
"1551","58th & Ellis to 60th & Ellis",1,"58th and Ellis,60th and Ellis"
"1552","6031 S. Ellis to 1307 E. 60th",1,"6031 South Ellis,1307 East 60th"
"1553","60th & Drexel to 61st & Kimbark",1,"60th and Drivexel,61st and Kimbark"
"1554","60th & Ellis to 55th& Hyde Park ",1,"60th and Ellis,55thand Hyde Park "
"1555","61-63 Cottage Grove to Woodlawn",1,"61-63 Cottage Grove,Woodlawn"
"1556","61st & Ellis to 1414 E. 59th St.",1,"61st and Ellis,1414 East 59th Street"
"1557","61st & Kenwood to 5815 S. Maryland",1,"61st and Kenwood,5815 South Maryland"
"1558","Lake Park / 48th to 49th",1,"48th and Lake Park,49th and Lake Park"
"1559","UC Campus / Max Palevsky Residence Hall",1,"Max Palevsky Residence Hall"
"1560","UC Campus / Student Housing Facility",1,"UC Campus / Student Housing Facility,"
