"","Original address","Freq","Location.Address"
"573","4700 S. Greenwood ",1,"4700 South Greenwood "
"574","4700 S. Ingleside",1,"4700 South Ingleside"
"575","4701 S. Ellis ",1,"4701 South Ellis "
"576","4721 S. Ellis ",1,"4721 South Ellis "
"577","4726 S. Woodlawn",1,"4726 South Woodlawn"
"578","4750 S. Cornell ",1,"4750 South Cornell "
"579","4759 S. Woodlawn ",1,"4759 South Woodlawn "
"580","47th & Evans",1,"47th and Evans"
"581","47th & Woodlawn",1,"47th and Woodlawn"
"582","4800 S. Cottage Grove",1,"4800 South Cottage Grove"
"583","4800 S. Dorchester",1,"4800 South Dorchester"
"584","4825 S. Drexel",1,"4825 South Drivexel"
"585","4832 S. Drexel ",1,"4832 South Drivexel "
"586","4835 S. Kimbark",1,"4835 South Kimbark"
"587","4837 S. Kenwood",1,"4837 South Kenwood"
"588","4844 S. Cornell  ",1,"4844 South Cornell  "
"589","4859 S. Cottage Grove",1,"4859 South Cottage Grove"
"590","48th & Woodlawn or 48th & Ellis",1,"48th and Woodlawn,48th and Ellis"
"591","4900 S. Blackstone",1,"4900 South Blackstone"
"592","4900 S. Drexel",1,"4900 South Drivexel"
"593","4900 S. Drexel ",1,"4900 South Drivexel "
"594","4900 S. Ellis",1,"4900 South Ellis"
"595","4900 S. Kenwood",1,"4900 South Kenwood"
"596","4900 S. Kimbark",1,"4900 South Kimbark"
"597","4900 S. Lake Shore Dr.",1,"4900 South Lake Shore Drive"
"598","4901 S. Blackstone",1,"4901 South Blackstone"
"599","4901 S. Cottage Grove",1,"4901 South Cottage Grove"
"600","4901 S. Greenwood ",1,"4901 South Greenwood "
"601","4906 S. Dorchester ",1,"4906 South Dorchester "
"602","4915 S. Woodlawn ",1,"4915 South Woodlawn "
"603","4921 S. Ellis ",1,"4921 South Ellis "
"604","4922 S. Cornell ",1,"4922 South Cornell "
"605","4937 S. East End",1,"4937 South East End"
"606","49th & Blackstone",1,"49th and Blackstone"
"607","5000 S. Cornell",1,"5000 South Cornell"
"608","5000 S. Cornell ",1,"5000 South Cornell "
"609","5000 S. Dorchester",1,"5000 South Dorchester"
"610","5000 S. Dorchester ",1,"5000 South Dorchester "
"611","5000 S. Drexel",1,"5000 South Drivexel"
"612","5030 S. Cornell ",1,"5030 South Cornell "
"613","5030 S. Drexel ",1,"5030 South Drivexel "
"614","5036 S. Drexel",1,"5036 South Drivexel"
"615","5036 S. Ellis ",1,"5036 South Ellis "
"616","5037 S. Drexel",1,"5037 South Drivexel"
"617","5037 S. Drexel ",1,"5037 South Drivexel "
"618","5041 S. Blackstone ",1,"5041 South Blackstone "
"619","5043 S. Drexel ",1,"5043 South Drivexel "
"620","5048 S. Blackstone ",1,"5048 South Blackstone "
"621","5048 S. Cornell",1,"5048 South Cornell"
"622","5050 S. Lake Shore Dr. ",1,"5050 South Lake Shore Drive "
"623","5051 S. East End",1,"5051 South East End"
"624","5052 S. Blackstone",1,"5052 South Blackstone"
"625","5055 S. Lake Shore Dr.",1,"5055 South Lake Shore Drive"
