,Incident,Location,Occured,Disposition,Notes,temp_inc
935,,illinois institute of technology: mies campus: residential buildings: state street village: robbery ssv middle – 3333 s state date/time reported,9/28/2016 5:30,police notified notes: iitpsd responded to a robbery outside of ssv middle. thank you,iitpsd responded to a robbery outside of ssv middle. thank you,ROBBERY
936,harassment : phone,illinois institute of technology : mies campus ,9/26/2016 9:25,closed pending adtl info notes: iitpsd responded to pearlstein hall for a harassment report.,iitpsd responded to pearlstein hall for a harassment report.,DISTURBANCE
937,administrative information,illinois institute of technology: mies campus : academic/administrative buildings : tower – 10w 35th,9/26/2016 10:30,cleared – no further action notes: iitpsd responded to an individual who fell out of her wheelchair.,iitpsd responded to an individual who fell out of her wheelchair.,MEDICAL INCIDENT
938,robbery : attempted,illinois institute of technology : mies campus,9/27/2016 12:00,cleared – no further action notes: an iit student came to the tower to report an attempted robbery,an iit student came to the tower to report an attempted robbery,ROBBERY
939,administrative information,illinois institute of technology : mies campus : general parking locations : a2 lot – 3040 s wabash,9/27/2016 7:55,cleared – no further action notes: iitpsd responded to the a2 parking lot for a theft report.,iitpsd responded to the a2 parking lot for a theft report.,THEFT
940,larceny/theft : bicycles,illinois institute of technology : kent campus – 565 w adams,9/27/2016 8:50,closed pending adtl info notes: iit psd received a report of a bicycle theft at kent college of law   thank you,iit psd received a report of a bicycle theft at kent college of law   thank you,THEFT
941,robbery: attempted,illinois institute of technology: mies campus – off campus date/time reported,9/27/2016 12:00,cleared – no further action notes: an iit student came to the tower to report an attempted robbery,an iit student came to the tower to report an attempted robbery,ROBBERY
942,administrative information,illinois institute of technology: mies campus: general parking locations: a2 lot – 3040 s wabash date/time reported,9/27/2016 7:55,cleared – no further action notes: iitpsd responded to the a2 parking lot for a theft report.,iitpsd responded to the a2 parking lot for a theft report.,THEFT
943,larceny/theft: bicycles,illinois institute of technology: kent campus – 565 w adams date/time reported,9/27/2016 8:50,closed pending adtl info notes: iit psd received a report of a bicycle theft at kent college of law thank you,iit psd received a report of a bicycle theft at kent college of law thank you,THEFT
944,battery-simple,illinois institute of technology: mies campus : other : cta : green line – 34th,9/23/2016 1:40,police notified notes: iitpsd responded to 34th and the green line for a battery to an iitpsd officer.,iitpsd responded to 34th and the green line for a battery to an iitpsd officer.,BATTERY
945,injured/sick person: emergency medical transport/ambulance,illinois institute of technology: mies campus : academic/administrative buildings : tower – 10w 35th,9/23/2016 6:45,closed – no further action possible notes: iitpsd responded to the tower for a member of general public having problems breathing.,iitpsd responded to the tower for a member of general public having problems breathing.,MEDICAL INCIDENT
946,injured/sick person: non-emergency medical transport,illinois institute of technology: mies campus: residential buildings : mccormick student village – 3241 s wabash,9/23/2016 7:20,closed – no further action possible notes: iitpsd responded to msv for an injured iit student.,iitpsd responded to msv for an injured iit student.,MEDICAL INCIDENT
947,disturbance,illinois institute of technology: mies campus: residential buildings : fraternity/sorority :tri – 3360 s michigan,9/25/2016 12:50,housing notified notes: iitpsd responded to the triangle house for a noise complaint.,iitpsd responded to the triangle house for a noise complaint.,DISTURBANCE
948,damage to property,illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state,9/25/2016 6:40,facilities notified notes: iitpsd responded to mtcc for damage to iit property.,iitpsd responded to mtcc for damage to iit property.,DAMAGE TO PROPERTY
949,damage to property,illinois institute of technology: mies campus: street locations: dearborn : 3300-3400 south,9/25/2016 11:50,facilities notified notes: iitpsd took a damage to property report involving graffiti on the fire lane.   thank you!,iitpsd took a damage to property report involving graffiti on the fire lane.   thank you!,DAMAGE TO PROPERTY
950,alarm,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – graduate,9/21/2016 2:08,cleared – no further action notes: iitpsd responded to a msv fire alarm at graduate hall.,iitpsd responded to a msv fire alarm at graduate hall.,ALARM
951,larceny/theft : other,illinois institute of technology : mies campus : academic/administrative buildings : stuart building – 10 w 31st,9/21/2016 4:00,cleared – no further action notes: iitpsd responded to farr hall for a delayed theft report.,iitpsd responded to farr hall for a delayed theft report.,THEFT
952,administrative information,illinois institute of technology : mies campus : academic/administrative buildings : technology park – 3340 s dearborn,9/21/2016 4:15,cleared – no further action notes: iitpsd responded to tech park for a disturbance.,iitpsd responded to tech park for a disturbance.,DISTURBANCE
953,suspicious person,illinois institute of technology : mies campus : campus wide,9/21/2016 10:06,closed – no further action possible notes: iitpsd responded to a report of suspicious persons.,iitpsd responded to a report of suspicious persons.,SUSPICION
954,well being check,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – south,9/22/2016 2:45,closed – no further action possible notes: iitpsd responded to msv for a well being check of an iit student.,iitpsd responded to msv for a well being check of an iit student.,WELL BEING CHECK
955,larceny/theft : bicycles,illinois institute of technology : mies campus : academic/administrative buildings : crownhall – 3360 s state,9/22/2016 7:00,cleared – no further action notes: iitpsd responded to crown hall for a bicycle theft.,iitpsd responded to crown hall for a bicycle theft.,THEFT
956,accident : motor vehicle,illinois institute of technology : mies campus : general parking locations : d5 lot – 3420 s state,9/22/2016 7:20,cleared – no further action notes: iitpsd responded to a call of a vehicle accident involving an iit student in the d5 lot.,iitpsd responded to a call of a vehicle accident involving an iit student in the d5 lot.,ACCIDENT
957,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – north,9/22/2016 7:55,housing notified notes: iitpsd responded to msv for a narcotics report.,iitpsd responded to msv for a narcotics report.,NARCOTICS
958,injured/sick person : report only,illinois institute of technology : mies campus : academic/administrative buildings : galvin library – 35 w 33rd,9/22/2016 11:55,closed – no further action possible notes: iitpsd responded to galvin for a slip and fall report   thank you!,iitpsd responded to galvin for a slip and fall report   thank you!,MEDICAL INCIDENT
959,trespassing : criminal trespass to land,illinois institute of technology : mies campus : academic/administrative buildings : galvin library – 35 w 33rd,9/20/2016 5:45,police notified   notes: iitpsd responded to galvin library for a suspicious person.,iitpsd responded to galvin library for a suspicious person.,SUSPICION
960,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – east,9/20/2016 11:17,housing notified   notes: iitpsd responded to a report of possible drug use at msv.       have a good day!,iitpsd responded to a report of possible drug use at msv.       have a good day!,NARCOTICS
961,suspicious activity,illinois institute of technology,9/19/2016 12:05,police notified notes: iitpsd responded to a call of a suspicious package under the viaduct on 33rd street between federal and lasalle.,iitpsd responded to a call of a suspicious package under the viaduct on 33rd street between federal and lasalle.,SUSPICION
962,utility incident : elevator : entrapment,illinois institute of technology : kent campus – 565 w adams,9/19/2016 9:14,facilities notified notes: iit psd responded to an elevator entrapment at kent college of law   thank you!,iit psd responded to an elevator entrapment at kent college of law   thank you!,UTILITY INCIDENT
963,injured/sick person: non-emergency medical transport,illinois institute of technology: mies campus: academic/administrative buildings : tower- 10w 35th,9/16/2016 2:30,NA,iitpsd responded to the tower for a non-emergency medical transport to mercy hospital.,MEDICAL INCIDENT
964,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : mies campus : academic/administrative buildings : mccormicktribune campus center – 3201 s state,9/16/2016 3:55,cleared – no further action notes: iitpsd responded to mtcc for emergency transport for a sedexo employee.,iitpsd responded to mtcc for emergency transport for a sedexo employee.,MEDICAL INCIDENT
965,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – south,9/17/2016 1:53,housing notified notes: iitpsd responded for an emergency medical transport of an iit student to mercy hospital.,iitpsd responded for an emergency medical transport of an iit student to mercy hospital.,MEDICAL INCIDENT
966,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology: mies campus : residential buildings : mccormick student village – 3241 s wabash: msv – east,9/17/2016 3:10,housing notified notes: iitpsd responded to msv for an emergency medical transport for an iit student.,iitpsd responded to msv for an emergency medical transport for an iit student.,MEDICAL INCIDENT
967,well being check,illinois institute of technology: mies campus: residential buildings : fraternity/sorority pkp – 3333 s wabash,9/17/2016 3:45,housing notified notes: iitpsd did a walk through/well-being check at the pi kappa phi house.,iitpsd did a walk through/well-being check at the pi kappa phi house.,WELL BEING CHECK
968,utility incident: electricity,illinois institute of technology,9/17/2016 6:55,facilities notified notes: iitpsd responded to numerous locations on iit campus due to a power surge.,iitpsd responded to numerous locations on iit campus due to a power surge.,UTILITY INCIDENT
969,utility incident: elevator,illinois institute of technology,9/17/2016 8:14,cleared – no further action notes: iitpsd responded to iitri tower for an elevator entrapment involving a staff member.,iitpsd responded to iitri tower for an elevator entrapment involving a staff member.,UTILITY INCIDENT
970,injured/sick person: emergency medical transport/ambulance,illinois institute of technology: mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,9/17/2016 6:55,cleared – no further action notes: iitpsd assisted with a medical transport to mercy hospital for an iit student.   thank you!,iitpsd assisted with a medical transport to mercy hospital for an iit student.   thank you!,MEDICAL INCIDENT
971,suspicious person location,illinois institute of technology : mies campus : residential buildings : asa,9/15/2016 3:05,cleared – no further action notes: iitpsd responded to the alpha sigma alpha sorority house for a suspicious person and activity.   thank you,iitpsd responded to the alpha sigma alpha sorority house for a suspicious person and activity.   thank you,SUSPICION
972,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus: tower,NA,cleared – no further action notes: iitpsd responded to the tower for an non-emergency transport to mercy hospital.,iitpsd responded to the tower for an non-emergency transport to mercy hospital.,MEDICAL INCIDENT
973,assist other agency/department,illinois institute of technology : mies campus : street locations : state,NA,police notified notes: iitpsd responded to 32nd state street for a motor vehicle accident.,iitpsd responded to 32nd state street for a motor vehicle accident.,ACCIDENT
974,injured/sick person : report only,illinois institute of technology : mies campus : other : off campus location,NA,closed – no further action possible notes: iitpsd escorted an iit student back to campus from a hospital emergency room.   thank you,iitpsd escorted an iit student back to campus from a hospital emergency room.   thank you,MEDICAL INCIDENT
975,well being check,illinois institute of technology: mies campus,NA,housing notified notes: iitpsd did a well-being check on an iit student.,iitpsd did a well-being check on an iit student.,WELL BEING CHECK
976,drug/narcotic offense,illinois institute of technology: mies campus : residential buildings :ssv north,NA,housing notified notes: iitpsd responded to ssvn for a narcotics report.,iitpsd responded to ssvn for a narcotics report.,NARCOTICS
977,disturbance,illinois institute of technology: kent campus,NA,closed pending adtl info notes: iit psd received a report of a disturbance in room 483 at kent college of law.,iit psd received a report of a disturbance in room 483 at kent college of law.,DISTURBANCE
978,alarm,illinois institute of technology: mies campus : residential buildings : mccormick student village,9/13/2016 10:06,cleared – no further action notes: iitpsd responded to msv 1st floor fowler hall for an alarm.,iitpsd responded to msv 1st floor fowler hall for an alarm.,ALARM
979,robbery: strong-arm hand/fists/feet,illinois institute of technology: mies campus : street locations : 31st street dearborn to federal,NA,cleared – no further action notes: iitpsd responded to 31st and dearborn for a robbery of an iit student   thank you!,iitpsd responded to 31st and dearborn for a robbery of an iit student   thank you!,ROBBERY
980,suspicious person,illinois institute of technology : kent campus – 565 w adams,NA,police notified notes: iit psd responded to a report of a suspicious person in the library at kent college of law.,iit psd responded to a report of a suspicious person in the library at kent college of law.,SUSPICION
981,utility incident : elevator : malfunction,illinois institute of technology : kent campus – 565 w adams,NA,facilities notified notes: iit psd received a report of an elevator malfunction at kent college of law   thank you!,iit psd received a report of an elevator malfunction at kent college of law   thank you!,UTILITY INCIDENT
982,larceny/theft,illinois institute of technology : mies campus,9/9/2016 7:45,police notified notes: iitpsd responded to a theft in progress. iitpsd detained the offender who was later arrested.,iitpsd responded to a theft in progress. iitpsd detained the offender who was later arrested.,THEFT
983,alarm : fire,illinois institute of technology : mies campus : residential buildings : carmen hall,9/9/2016 9:20,closed – no further action possible notes: iitpsd responded to carmen hall for an activated fire alarm. it was later found to be a false alarm caused by facilities work.,iitpsd responded to carmen hall for an activated fire alarm. it was later found to be a false alarm caused by facilities work.,ALARM
984,assault-aggravated : hand/fists/feet w/aggravated injury,illinois institute of technology : mies campus : street locations : 31st street : west :federal to lasalle,9/11/2016 6:50,student affairs notified notes: iitpsd took a report of an assault of an iit student that occurred off campus.   thank you!,iitpsd took a report of an assault of an iit student that occurred off campus.   thank you!,ASSAULT
985,injured/sick person : report only,illinois institute of technology : mies campus galvin library ,9/8/2016 3:25,cleared – no further action notes: iitpsd gathered information for a slip and fall report involving an iit student.,iitpsd gathered information for a slip and fall report involving an iit student.,MEDICAL INCIDENT
986,injured/sick person,illinois institute of technology : mies campus tower,9/8/2016 1:35,cleared – no further action notes: iitpsd responded to a report of an iit student suffering from an allergic reaction to medication. int. ref. #,iitpsd responded to a report of an iit student suffering from an allergic reaction to medication. int. ref. #,MEDICAL INCIDENT
987,larceny/theft : other,illinois institute of technology,9/8/2016 2:30,under investigation notes: iitpsd responded to the facilities garage for a theft report.,iitpsd responded to the facilities garage for a theft report.,THEFT
988,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : kent campus,9/8/2016 5:35,police notified notes: iit psd received a report of a member of the general public that was experiencing a medical or psychological condition at kent college of law.,iit psd received a report of a member of the general public that was experiencing a medical or psychological condition at kent college of law.,MEDICAL INCIDENT
989,larceny/theft : bicycles,illinois institute of technology : kent campus ,9/8/2016 8:40,closed pending adtl info notes: iit psd received a report of a bicycle theft at kent college of law   thank you!,iit psd received a report of a bicycle theft at kent college of law   thank you!,THEFT
990,disturbance,illinois institute of technology : mies campus : mccormicktribune campus center,9/7/2016 8:20,closed – no further action possible notes: iitpsd responded to mtcc for a disturbance report involving a member of the general public.,iitpsd responded to mtcc for a disturbance report involving a member of the general public.,DISTURBANCE
991,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : 3424 s state,9/7/2016 8:40,closed – no further action possible notes: iitpsd responded to 3424 s. dearborn for an injured student report.,iitpsd responded to 3424 s. dearborn for an injured student report.,MEDICAL INCIDENT
992,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : tower,9/7/2016 8:50,closed – no further action possible notes: iitpsd responded to msv for a non-emergency medical transport of an iit student who had a minor allergic reaction.,iitpsd responded to msv for a non-emergency medical transport of an iit student who had a minor allergic reaction.,MEDICAL INCIDENT
993,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : 3410 s state,9/7/2016 3:04,closed – no further action possible notes: iitpsd and cfd responded for an emergency medical transport from 3410 to mercy hospital.,iitpsd and cfd responded for an emergency medical transport from 3410 to mercy hospital.,MEDICAL INCIDENT
994,utility incident : elevator : malfunction,illinois institute of technology : kent campus – 565 w adams,9/7/2016 4:50,facilities notified notes: iit psd received a report of an elevator malfunction at kent college of law.,iit psd received a report of an elevator malfunction at kent college of law.,UTILITY INCIDENT
995,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : tower,9/7/2016 5:15,closed – no further action possible notes: iitpsd responded to the tower for non-emergency transport from student wellness to mercy hospital.   thank you,iitpsd responded to the tower for non-emergency transport from student wellness to mercy hospital.   thank you,MEDICAL INCIDENT
996,suspicious person,illinois institute of technology : mies campus :state street village ,9/6/2016 2:00,housing notified notes: iitpsd responded to ssv south for a report of two suspicious people.,iitpsd responded to ssv south for a report of two suspicious people.,SUSPICION
997,utility incident : elevator : malfunction,illinois institute of technology : kent campus ,9/6/2016 4:45,facilities notified notes: iit psd received a report of an elevator malfunction on the 10th floor at kent college of law.,iit psd received a report of an elevator malfunction on the 10th floor at kent college of law.,UTILITY INCIDENT
998,administrative information,illinois institute of technology : mies campus :mccormick tribune campus center ,9/6/2016 7:23,cleared – no further action notes: iitpsd dispatcher observed unknown male taking a bike from mtcc’s south side bike rack.,iitpsd dispatcher observed unknown male taking a bike from mtcc’s south side bike rack.,THEFT
999,administrative information,illinois institute of technology : kent campus ,9/6/2016 8:15,facilities notified notes: iit psd received a report of a burning smell odor on the sixth floor at kent college of law.   thank you,iit psd received a report of a burning smell odor on the sixth floor at kent college of law.   thank you,OTHER
1000,drug/narcotic offense,illinois institute of technology : mies campus: state street village ,9/2/2016 12:15,housing notified notes: iitpsd responded to ssv for a narcotics report.,iitpsd responded to ssv for a narcotics report.,NARCOTICS
1001,larceny/theft : from motor vehicle,illinois institute of technology : vandercook ,9/2/2016 3:00,closed – no further action possible notes: iitpsd responded to farr hall for a theft report.   thank you,iitpsd responded to farr hall for a theft report.   thank you,THEFT
1002,damage to property,illinois institute of technology : mies campus,8/31/2016 12:30,closed – no further action possible notes: iitpsd took a damage to property report involving a staff member’s vehicle.,iitpsd took a damage to property report involving a staff member’s vehicle.,DAMAGE TO PROPERTY
1003,robbery,illinois institute of technology : off campus location,8/31/2016 1:15,police notified notes: iitpsd took a robbery report involving an iit student at an off campus location.,iitpsd took a robbery report involving an iit student at an off campus location.,ROBBERY
1004,administrative information,illinois institute of technology : mies campus ,8/31/2016 10:58,housing notified notes: iitpsd responded to a possible hazing incident.   thank you,iitpsd responded to a possible hazing incident.   thank you,DISTURBANCE
1005,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings : farr hall -3300 s michigan,10/24/2016 12:45,cleared – no further action notes: iitpsd responded to farr hall for a theft report that occurred off campus.,iitpsd responded to farr hall for a theft report that occurred off campus.,THEFT
1006,dating violence,illinois institute of technology : mies campus : other : off campus location,10/25/2016 4:10,open investigation notes: iitpsd took a dating violence report at farr hall that occurred off campus thank you!,iitpsd took a dating violence report at farr hall that occurred off campus thank you!,DISTURBANCE
1007,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,10/21/2016 9:38,cleared – no further action notes: iitpsd responded to mtcc for an injured person.,iitpsd responded to mtcc for an injured person.,MEDICAL INCIDENT
1008,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – east,10/21/2016 11:37,cleared – no further action notes: iitpsd responded to msv east hall for an active fire alarm.,iitpsd responded to msv east hall for an active fire alarm.,ALARM
1009,trespassing : bar notice,illinois institute of technology : mies campus : street locations : 33rd street : east : 45-100 wabash to michigan,10/23/2016 1:50,police notified notes: iitpsd responded to farr hall for a simple assault report where an iit student was spat on by a member of the general public.,iitpsd responded to farr hall for a simple assault report where an iit student was spat on by a member of the general public.,ASSAULT
1010,assault-simple,illinois institute of technology : mies campus : street locations : 33rd street : east : 45-100 wabash to michigan,10/23/2016 1:50,police notified notes: iitpsd responded to farr hall for a simple assault report where an iit student was spat on by a member of the general public. thank you,iitpsd responded to farr hall for a simple assault report where an iit student was spat on by a member of the general public. thank you,ASSAULT
1011,assist other agency/department location,illinois institute of technology: mies campus: academic/administrative buildings: 3424 s state date/time reported,10/20/2016 12:50,cleared by arrest notes: iitpsd assisted cpd at the youth connection leadership academy.,iitpsd assisted cpd at the youth connection leadership academy.,OTHER
1012,robbery: firearm location,illinois institute of technology: mies campus: street locations: 33rd street: east: 45-100 wabash to michigan date/time reported,10/20/2016 8:37,police notified notes: iitpsd responded to an e-phone activation at 34th & state street for a robbery that occurred off campus.   thank you,iitpsd responded to an e-phone activation at 34th & state street for a robbery that occurred off campus.   thank you,ROBBERY
1013,drug/narcotic offense location,illinois institute of technology: mies campus: residential buildings: fraternity/sorority: asa – 3340 s michigan date/time reported,10/19/2016 10:54,housing notified notes: iitpsd responded to the alpha sigma alpha house for a possible narcotics offense   thank you,iitpsd responded to the alpha sigma alpha house for a possible narcotics offense   thank you,NARCOTICS
1014,injured/sick person: emergency medical transport/ambulance: employee/staff/faculty location,illinois institute of technology: mies campus: academic/administrative buildings: mccormicktribune campus center – 3201 s state date/time reported,10/18/2016 10:25,cleared – no further action notes: iitpsd responded to mccormick tribune campus center for a staff member having trouble breathing.,iitpsd responded to mccormick tribune campus center for a staff member having trouble breathing.,MEDICAL INCIDENT
1015,larceny/theft location,illinois institute of technology: mies campus: academic/administrative buildings: siegel hall – 3301 s dearborn date/time reported,10/18/2016 11:00,NA,iitpsd responded to galvin library for a bicycle theft report.   thank you,THEFT
1016,assist other agency/department location,illinois institute of technology date/time reported,10/17/2016 1:35,cleared – no further action notes: iitpsd responded to 33rd and lasalle to assist chicago police.,iitpsd responded to 33rd and lasalle to assist chicago police.,OTHER
1017,larceny/theft location: illinois institute of technology date/time reported,NA,NA,cleared – no further action notes: iitpsd responded to crown hall for a bicycle theft report,iitpsd responded to crown hall for a bicycle theft report,THEFT
1018,assault-simple: hands/fists/feet location,illinois institute of technology: mies campus: academic/administrative buildings: perlstein hall – 10 w 33rd date/time reported,10/17/2016 2:50,NA,iitpsd responded to farr hall for an assault report.   thank you,ASSAULT
1019,trespassing: bar notice/ robbery: attempted location,illinois institute of technology: mies campus: street locations: 32nd street: east: 45-100 wabash to michigan date/time reported,10/14/2016 10:05,cleared – no further action notes: iitpsd responded to 32nd and michigan for an attempted robbery.,iitpsd responded to 32nd and michigan for an attempted robbery.,ROBBERY
1020,administrative information location,illinois institute of technology: mies campus: general parking locations: a2 lot – 3040 s wabash date/time reported,10/14/2016 4:30,cleared – no further action notes: iitpsd responded to the a2 parking lot for a theft report.,iitpsd responded to the a2 parking lot for a theft report.,THEFT
1021,injured/sick person location,illinois institute of technology: mies campus: academic/administrative buildings: keating sports center – 3040 s wabash date/time reported,10/15/2016 4:34,transported to mercy hospital for further evaluation. notes: iitpsd responded to keating sports center for a report of an injured student. thank you,iitpsd responded to keating sports center for a report of an injured student. thank you,MEDICAL INCIDENT
1022,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings : rettaliata engineering – 10 w 32nd,10/13/2016 2:50,cleared – no further action notes: iitpsd responded to the rettaliata engineering building for a theft report.,iitpsd responded to the rettaliata engineering building for a theft report.,THEFT
1023,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10 w 35th,10/13/2016 7:20,cleared – no further action notes: iitpsd responded to the tower for a non-emergency medical transport for an iit student to mercy hospital.   thank you and have a nice weekend!,iitpsd responded to the tower for a non-emergency medical transport for an iit student to mercy hospital.   thank you and have a nice weekend!,MEDICAL INCIDENT
1024,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : state street village :ssv north – 3303 s state,10/10/2016 12:10,housing notified notes: iitpsd responded to ssvn for a narcotics report,iitpsd responded to ssvn for a narcotics report,NARCOTICS
1025,robbery: strong-arm hand/fists/feet,illinois institute of technology: mies campus : other : off campus location,10/10/2016 2:01,closed notes: iitpsd responded to farr hall for a robbery report. (off-campus),iitpsd responded to farr hall for a robbery report. (off-campus),ROBBERY
1026,injured/sick person : report only,illinois institute of technology : kent campus – 565 w adams,10/10/2016 3:00,information only notes: iit psd documentation that an iit student refused medical care at kent college of law   thank you,iit psd documentation that an iit student refused medical care at kent college of law   thank you,MEDICAL INCIDENT
1027,administrative information,illinois institute of technology : mies campus : street locations : federal : 3200-3300 south,10/7/2016 8:10,cleared – no further action notes: iitpsd responded to a car that possibly had been vandalize near machinery hall.,iitpsd responded to a car that possibly had been vandalize near machinery hall.,DAMAGE TO PROPERTY
1028,larceny/theft : bicycles,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,10/7/2016 11:00,cleared – no further action notes: a student called in about his bike being stolen from the front of carmen hall.,a student called in about his bike being stolen from the front of carmen hall.,THEFT
1029,injured/sick person,illinois institute of technology : mies campus : academic/administrative buildings : 3353 s state,10/7/2016 8:50,housing notified notes: iitpsd resonded to a report of an injured student at ssvs.,iitpsd resonded to a report of an injured student at ssvs.,MEDICAL INCIDENT
1030,injured/sick person : report only,illinois institute of technology : mies campus : street locations : wabash : 3300-3400 south,10/8/2016 4:00,housing notified notes: iitpsd took an injured/sick person report for an intoxicated iit student.,iitpsd took an injured/sick person report for an intoxicated iit student.,MEDICAL INCIDENT
1031,damage to property,illinois institute of technology : mies campus : residential buildings : cunningham hall – 3100 s michigan,10/9/2016 9:00,facilities notified notes: iitpsd discovered a broken window on the westside of cunningham hall.,iitpsd discovered a broken window on the westside of cunningham hall.,DAMAGE TO PROPERTY
1032,alarm,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/9/2016 6:24,cleared – no further action notes: iitpsd responded to a fire alarm at msv.   have a good day!,iitpsd responded to a fire alarm at msv.   have a good day!,ALARM
1033,larceny/theft : bicycles,illinois institute of technology : mies campus : academic/administrative buildings : crown hall – 3360 s state,10/4/2016 3:00,closed pending adtl info notes: iitpsd responded to crown hall for a theft report.,iitpsd responded to crown hall for a theft report.,THEFT
1034,larceny/theft : bicycles,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :quad,10/4/2016 8:45,cleared – no further action notes: iitpsd took a report of a stolen bike.   thank you!,iitpsd took a report of a stolen bike.   thank you!,THEFT
1035,larceny/theft : bicycles,illinois institute of technology : mies campus : academic/administrative buildings : 3410 s state,10/3/2016 12:44,cleared – no further action notes: iitpsd took a bike theft report that occurred in front of 3410.,iitpsd took a bike theft report that occurred in front of 3410.,THEFT
1036,trespassing : bar notice,illinois institute of technology,10/3/2016 7:15,cleared – no further action notes: iitpsd responded to the parking area near mccormick student village for a report of a male individual panhandling in the area.,iitpsd responded to the parking area near mccormick student village for a report of a male individual panhandling in the area.,DISTURBANCE
1037,damage to property,illinois institute of technology,10/3/2016 7:30,facilities notified notes: iitpsd responded to 3400 s. dearborn for a damage to property report.,iitpsd responded to 3400 s. dearborn for a damage to property report.,DAMAGE TO PROPERTY
1038,injured/sick person : non-emergency medical transport,illinois institute of technology,10/3/2016 7:45,housing notified notes: iitpsd responded to iitri tower for a non-emergency medical transport to mercy hospital for a iit student,iitpsd responded to iitri tower for a non-emergency medical transport to mercy hospital for a iit student,MEDICAL INCIDENT
1039,larceny/theft : bicycles,illinois institute of technology,10/3/2016 10:30,cleared – no further action notes: iitpsd responded to farr hall for a bicycle theft report for an iit student.   have a nice day!,iitpsd responded to farr hall for a bicycle theft report for an iit student.   have a nice day!,THEFT
1040,administrative information,illinois institute of technology : mies campus : academic/administrative buildings : 3424 s state,9/30/2016 3:44,"cleared – no further action notes: iitpsd made contact with a faculty member at 3424, about an iit student that was causing concern.","iitpsd made contact with a faculty member at 3424, about an iit student that was causing concern.",DISTURBANCE
1041,administrative information,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,9/30/2016 9:53,cleared – no further action notes: iitpsd responded to msv for a report of a smell of marijuana in south hall.,iitpsd responded to msv for a report of a smell of marijuana in south hall.,NARCOTICS
1042,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : residential buildings : state street village :ssv north – 3303 s state,10/1/2016 4:58,housing notified notes: ittpsd responded to ssvn for a noise complaint and emergency medical transport for an intoxicated student.,ittpsd responded to ssvn for a noise complaint and emergency medical transport for an intoxicated student.,MEDICAL INCIDENT
1043,injured/sick person,illinois institute of technology : mies campus : academic/administrative buildings,10/2/2016 3:00,closed – no further action possible notes: iitpsd responded to a report of a member of the general public that slipped and fell on the bleachers at the iit soccer field.,iitpsd responded to a report of a member of the general public that slipped and fell on the bleachers at the iit soccer field.,MEDICAL INCIDENT
1044,robbery,illinois institute of technology : mies campus : other,10/2/2016 8:00,closed pending adtl info notes: iitpsd took an off campus robbery report that occurred near 35th and mlk drive.,iitpsd took an off campus robbery report that occurred near 35th and mlk drive.,ROBBERY
1045,injured/sick person,illinois institute of technology : mies campus : academic/administrative buildings : stuart building – 10 w 31st,10/2/2016 9:07,closed – no further action possible notes: iitpsd responded to the iit soccer field for a report of students injured while playing on the field.,iitpsd responded to the iit soccer field for a report of students injured while playing on the field.,MEDICAL INCIDENT
1046,larceny/theft : bicycles,illinois institute of technology : mies campus : academic/administrative buildings : 3410 s state,10/3/2016 12:44,closed – no further action possible notes: iitpsd took a bike theft report that occurred in front of 3410        thank you,iitpsd took a bike theft report that occurred in front of 3410        thank you,THEFT
