,Incident,Location,Occured,Disposition,Notes,temp_inc
477,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,10/1/2015 7:35,NA,iitpsd responded to an elevator entrapment at kent college of law   thank you,UTILITY INCIDENT
478,alarm : smoke,illinois institute of technology : main campus : mccormick student village ,9/30/2015 1:20,NA,"iitpsd responded to a fire alarm at msv, that was activated from smoke from a kitchen oven.",ALARM
479,damage to property,illinois institute of technology : vandercook ,9/30/2015 1:49,NA,iitpsd responded to vandercook for a damage to property report.   thank you,DAMAGE TO PROPERTY
480,well being check,illinois institute of technology : mies campus : mccormick student village ,11/28/2015 8:15,NA,iitpsd and iitrgl coordinated a well-being check of an iit student.   thank you,WELL BEING CHECK
481,injured/sick person : report only,illinois institute of technology : moffett campus ,11/23/2015 4:25,NA,iitpsd was notified of an injured student at moffett campus.,MEDICAL INCIDENT
482,suicide : attempted suicide,illinois institute of technology : mies campus : state street village ,11/23/2015 5:20,NA,iitpsd responded to ssv for an attempted suicide involving an iit student.,WELL BEING CHECK
483,well being check,illinois institute of technology : mies campus : gunsaulus hall ,11/23/2015 11:06,NA,iitpsd responded to gunsaulus for a well being check.   thank you,WELL BEING CHECK
484,larceny/theft : bicycles,illinois institute of technology : mies campus: perlstein hall ,11/20/2015 11:30,NA,iitpsd took a report for a stolen bicycle from outside perlstein hall.,THEFT
485,accident : motor vehicle,illinois institute of technology : mies campus: 33rd street ,11/20/2015 2:45,NA,iitpsd responded to 33rd and federal for a hit a run car accident.,ACCIDENT
486,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : mies campus: mccormick student village ,11/21/2015 12:32,NA,iitpsd conducted a well being check for a student inside of msv. cfd did a non-emergency transport to mercy hospital.   thank you,MEDICAL INCIDENT
487,alarm : fire,illinois institute of technology : mies campus: mccormick student,11/18/2015 3:09,NA,iitpsd responded to msv 2nd floor lewis hall for a pulled fire alarm.,ALARM
488,larceny/theft : other,illinois institute of technology : mies campus: state street village ,11/18/2015 2:40,NA,iitpsd took a delayed report for an iit student who was the victim of a theft.,THEFT
489,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: tower ,11/18/2015 3:30,NA,iitpsd responded to the iit tower for an non-emergency medical transport.,MEDICAL INCIDENT
490,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : tower ,11/18/2015 4:00,NA,iitpsd responded to the iit tower for a non-emergency medical transport involving an iit student.,MEDICAL INCIDENT
491,disorderly / reckless conduct,illinois institute of technology : mies campus : 33rd street ,11/18/2015 4:40,NA,iitpsd detained a member of the general public for disorderly conduct. the general public member was turned over to cfd and cpd.,DISTURBANCE
492,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : kent campus ,11/18/2015 6:57,NA,iitpsd responded to a medical emergency at kent college of law.,MEDICAL INCIDENT
493,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: fraternity/sorority ,11/18/2015 7:00,NA,iitpsd did a non-emergency transport to mercy hospital,MEDICAL INCIDENT
494,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : keating,11/18/2015 8:55,NA,iitpsd responded to keating gym for an emergency medical transport involving an iit student.   thank you,MEDICAL INCIDENT
495,battery-simple : hands/fists/feet,illinois institute of technology : off campus location,11/17/2015 8:15,NA,iitpsd took a delayed report of a simple battery that occurred at an off campus location.,BATTERY
496,injured/sick person : non-emergency medical transport : student,illinois institute of technology : vandercook ,11/17/2015 9:40,NA,iitpsd provided a non-emergency medical transport to mercy hospital for a vandercook student.,MEDICAL INCIDENT
497,utility incident : elevator : malfunction,illinois institute of technology : kent campus ,11/17/2015 9:00,NA,"elevator car number three, placed out of service at kent college of law.   thank you",UTILITY INCIDENT
498,accident : motor vehicle,illinois institute of technology : mies campus : street locations ,11/16/2015 12:45,NA,iitpsd responded to the health & wellness center for a non emergency medical transport,MEDICAL INCIDENT
499,battery-simple,illinois institute of technology,11/16/2015 1:30,NA,iitpsd responded to iitri tower for a battery report of an iit student.,BATTERY
